Atom # | Atom Type | Number of Bonds | Atoms Bond With (#-Symbol)
91 | C | 4 | 140-Si, 144-Si, 191-Si, 199-Si, 
92 | C | 4 | 192-Si, 200-Si, 207-Si, 215-Si, 
93 | C | 4 | 157-Si, 161-Si, 185-Si, 209-Si, 
94 | C | 4 | 158-Si, 162-Si, 186-Si, 210-Si, 
95 | C | 4 | 187-Si, 193-Si, 201-Si, 211-Si, 
96 | C | 4 | 188-Si, 194-Si, 202-Si, 212-Si, 
97 | C | 4 | 159-Si, 163-Si, 189-Si, 213-Si, 
98 | C | 4 | 160-Si, 164-Si, 190-Si, 214-Si, 
99 | C | 4 | 191-Si, 197-Si, 205-Si, 215-Si, 
100 | C | 4 | 192-Si, 198-Si, 206-Si, 216-Si, 
101 | C | 4 | 173-Si, 181-Si, 185-Si, 201-Si, 
102 | C | 4 | 174-Si, 182-Si, 186-Si, 202-Si, 
103 | C | 4 | 175-Si, 183-Si, 187-Si, 203-Si, 
104 | C | 4 | 176-Si, 184-Si, 188-Si, 204-Si, 
105 | C | 4 | 189-Si, 193-Si, 205-Si, 209-Si, 
106 | C | 4 | 190-Si, 194-Si, 206-Si, 210-Si, 
107 | C | 4 | 191-Si, 195-Si, 207-Si, 211-Si, 
108 | C | 4 | 192-Si, 196-Si, 208-Si, 212-Si, 
109 | Si | 4 | 1-C, 2-C, 3-C, 4-C, 
110 | Si | 4 | 2-C, 11-C, 17-C, 21-C, 
111 | Si | 4 | 4-C, 17-C, 39-C, 61-C, 
112 | Si | 4 | 3-C, 11-C, 39-C, 45-C, 
113 | Si | 4 | 5-C, 7-C, 9-C, 11-C, 
114 | Si | 4 | 6-C, 8-C, 10-C, 12-C, 
115 | Si | 4 | 7-C, 12-C, 23-C, 29-C, 
116 | Si | 4 | 4-C, 8-C, 13-C, 31-C, 
117 | Si | 4 | 11-C, 29-C, 49-C, 77-C, 
118 | Si | 4 | 12-C, 31-C, 51-C, 81-C, 
119 | Si | 4 | 9-C, 12-C, 47-C, 49-C, 
120 | Si | 4 | 4-C, 10-C, 37-C, 51-C, 
121 | Si | 4 | 13-C, 15-C, 17-C, 19-C, 
122 | Si | 4 | 14-C, 16-C, 18-C, 20-C, 
123 | Si | 4 | 15-C, 18-C, 22-C, 33-C, 
124 | Si | 4 | 3-C, 5-C, 16-C, 34-C, 
125 | Si | 4 | 18-C, 19-C, 63-C, 65-C, 
126 | Si | 4 | 3-C, 20-C, 37-C, 67-C, 
127 | Si | 4 | 17-C, 33-C, 65-C, 77-C, 
128 | Si | 4 | 18-C, 34-C, 67-C, 79-C, 
129 | Si | 4 | 21-C, 25-C, 29-C, 33-C, 
130 | Si | 4 | 22-C, 26-C, 30-C, 34-C, 
131 | Si | 4 | 23-C, 27-C, 31-C, 35-C, 
132 | Si | 4 | 24-C, 28-C, 32-C, 36-C, 
133 | Si | 4 | 24-C, 25-C, 30-C, 35-C, 
134 | Si | 4 | 6-C, 9-C, 26-C, 36-C, 
135 | Si | 4 | 14-C, 19-C, 27-C, 32-C, 
136 | Si | 4 | 1-C, 10-C, 20-C, 28-C, 
137 | Si | 4 | 30-C, 33-C, 79-C, 85-C, 
138 | Si | 4 | 9-C, 34-C, 45-C, 87-C, 
139 | Si | 4 | 32-C, 35-C, 83-C, 89-C, 
140 | Si | 4 | 10-C, 36-C, 47-C, 91-C, 
141 | Si | 4 | 29-C, 35-C, 81-C, 85-C, 
142 | Si | 4 | 30-C, 36-C, 83-C, 87-C, 
143 | Si | 4 | 19-C, 31-C, 61-C, 89-C, 
144 | Si | 4 | 20-C, 32-C, 63-C, 91-C, 
145 | Si | 4 | 37-C, 39-C, 41-C, 43-C, 
146 | Si | 4 | 38-C, 40-C, 42-C, 44-C, 
147 | Si | 4 | 39-C, 57-C, 69-C, 77-C, 
148 | Si | 4 | 40-C, 58-C, 70-C, 78-C, 
149 | Si | 4 | 40-C, 43-C, 62-C, 69-C, 
150 | Si | 4 | 2-C, 13-C, 44-C, 70-C, 
151 | Si | 4 | 40-C, 41-C, 46-C, 57-C, 
152 | Si | 4 | 2-C, 5-C, 42-C, 58-C, 
153 | Si | 4 | 45-C, 49-C, 53-C, 57-C, 
154 | Si | 4 | 46-C, 50-C, 54-C, 58-C, 
155 | Si | 4 | 47-C, 51-C, 55-C, 59-C, 
156 | Si | 4 | 48-C, 52-C, 56-C, 60-C, 
157 | Si | 4 | 49-C, 59-C, 81-C, 93-C, 
158 | Si | 4 | 50-C, 60-C, 82-C, 94-C, 
159 | Si | 4 | 43-C, 51-C, 61-C, 97-C, 
160 | Si | 4 | 44-C, 52-C, 62-C, 98-C, 
161 | Si | 4 | 50-C, 57-C, 78-C, 93-C, 
162 | Si | 4 | 7-C, 21-C, 58-C, 94-C, 
163 | Si | 4 | 52-C, 59-C, 82-C, 97-C, 
164 | Si | 4 | 8-C, 23-C, 60-C, 98-C, 
165 | Si | 4 | 48-C, 50-C, 53-C, 59-C, 
166 | Si | 4 | 6-C, 7-C, 54-C, 60-C, 
167 | Si | 4 | 38-C, 43-C, 52-C, 55-C, 
168 | Si | 4 | 1-C, 8-C, 44-C, 56-C, 
169 | Si | 4 | 61-C, 65-C, 69-C, 73-C, 
170 | Si | 4 | 62-C, 66-C, 70-C, 74-C, 
171 | Si | 4 | 63-C, 67-C, 71-C, 75-C, 
172 | Si | 4 | 64-C, 68-C, 72-C, 76-C, 
173 | Si | 4 | 65-C, 71-C, 79-C, 101-C, 
174 | Si | 4 | 66-C, 72-C, 80-C, 102-C, 
