Name, Band Gap (eV), n*_SiC, n_CH, n_SiH, n_SiSi, n_CC, SiC density, CH density, SiH density, SiSi density, CC density, HH density, Mean SiSi Length, MAD SiSi, STD SiSi, Mean CC Length, MAD CC, STD CC, %C, %Si, %H, Density(g/cm^3), Volume(cm^3), Free Energy, 1C, 2C, 3C, 4C, 5C, 6C, 7C, 8C, 9C, 10C, 11C, 1Si, 2Si, 3Si, 4Si, 5Si, 6Si, 7Si, 8Si, 9Si, 10Si, 11Si,0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0.0271444, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0
SiC Unit Cell                           , 1.56019, 0.523703, 0.0447136, 0.103036, 0.143861, 0, 91.9473, 8.63178, 19.8906, 27.7718, 0, 0, 2.26941, 0.0271444, 0.0330352, 0, 0, 0, 0.283898, 0.394068, 0.322034, 2.17699, 2.66457e-21, -1367.36, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 
